GENDER_R,AGE_R,AGEG5LFS,AGEG10LFS,ED_Level,EMPloyed,Full_part,self_employed,Years_wk,pub_priv,Mgr,Mgr_c,work_flexM,work_lrnM,liter_use,num_use,act_lrn,pvlitM,pvnumM,NFE12,FNFAET12,FNFE12JR,FNFAET12JR,FNFAET12NJR,NFEHRS
1,50,8,4,2,1,2,1,23,1,2, ,3,2,3.1666666666666665,2.8333333333333335,4.666666666666667,284.133878,293.70706499999994,1,1,0,0,1,2
1,50,8,4,3,1,1,1,25,1,1,2,4,3,3.75,3,3.8333333333333335,258.987214,244.71601300000003,0,0,0,0,0,0
1,50,8,4,2,1,1,1,25,1,2, ,3.75,2,1.6666666666666667,2,2.6666666666666665,207.393209,203.63906,0,0,0,0,0,0
1,50,8,4,1,1,2,1,34,1,2, ,1,1,1,1,2.1666666666666665,182.779758,168.39874599999996,0,0,0,0,0,0
1,50,8,4,2,1,1,2,25,1, , ,3,3.6666666666666665,2.5,1.8333333333333333,2.6666666666666665,221.48451600000004,224.40860000000004,0,0,0,0,0,0
1,50,8,4,2,1,1,1,27,2,2, ,1.75,3.6666666666666665,1.9166666666666667,1.5,3,268.00769,255.810574,0,0,0,0,0,0
1,50,8,4,1,1,1,2,35,1, , ,3.5,1.6666666666666667,2.4166666666666665,1.6666666666666667,2.3333333333333335,250.70261500000007,234.68837599999998,1,1,1,1,0,2
1,50,8,4,2,1,1,1,20,1,1,2,5,3.6666666666666665,4,4,3.3333333333333335,243.478292,217.837742,0,0,0,0,0,0
1,50,8,4,1,1,2,1,30,1,2, ,2.25,2,1.6666666666666667,1,2.8333333333333335,232.84637000000004,215.712508,1,1,1,1,0,24
1,50,8,4,3,1,1,2,30,1, , ,4.25,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.3333333333333335,251.146101,223.27345599999998,0,0,0,0,0,0
2,50,8,4,3,1,1,1,11,1,1,3,3,4,3.6666666666666665,1.1666666666666667,2.5,247.97909700000005,255.16505100000003,1,1,1,1,0,978
1,50,8,4,8,1,1,1,30,1,1,4,3.5,5,3.8333333333333335,3.8333333333333335,3.5,254.16462499999997,273.2271,1,1,1,1,0,24
1,50,8,4,2,1,2,1,10,1,2, ,1,2,1,1,2,269.710119,283.200199,0,0,0,0,0,0
1,50,8,4,2,1,2,1,20,1,2, ,1,2,1.3333333333333333,1,1.3333333333333333,251.84550399999998,257.17032000000006,0,0,0,0,0,0
1,50,8,4,3,1,1,1,20,2,1,3,2.75,2.6666666666666665,3.0833333333333335,1,2.6666666666666665,311.84893,300.805715,1,1,1,1,0,160
1,50,8,4,2,1,1,2,25,1, , ,5,2.6666666666666665,3.3333333333333335,1.3333333333333333,2,250.43606599999993,246.762882,0,0,0,0,0,0
1,50,8,4,2,1,1,2,15,1, , ,5,3.6666666666666665,4.166666666666667,3.6666666666666665,3.1666666666666665,259.676969,247.89014400000002,0,0,0,0,0,0
1,50,8,4,1,1,2,1,25,1,2, ,2.5,1,1.3333333333333333,1,2,263.863629,267.99768400000005,0,0,0,0,0,0
1,50,8,4,2,1,1,1,27,1,2, ,5,1.6666666666666667,4.666666666666667,3,3,270.559699,244.47291,1,1,1,1,0,40
2,50,8,4,1,1,1,1,7,1,2, ,1.75,3.6666666666666665,1.3333333333333333,1,1.8333333333333333,165.007218,154.777578,0,0,0,0,0,0
1,50,8,4,2,1,1,1,35,1,1,2,4,3.3333333333333335,3.6666666666666665,4.666666666666667,2.8333333333333335,251.79058700000002,194.04866499999997,1,1,1,1,0,48
1,50,8,4,3,1,1,1,25,2,2, ,3.5,3.3333333333333335,3.1666666666666665,1.8333333333333333,3,329.96903499999996,342.178055,1,1,1,1,0,50
2,50,8,4,1,1,1,1,25,1,2, ,2.5,1,1,1,2.5,184.01268,168.50067,0,0,0,0,0,0
1,50,8,4,2,1,1,1,22,2,2, ,2.5,2.6666666666666665,4.25,2.8333333333333335,2.6666666666666665,276.339288,264.441445,1,1,0,0,1,60
2,50,8,4,2,1,2,1,6,2,2, ,2.5,4,2,2,2.3333333333333335,245.174346,211.34843099999998,1,1,1,1,0,80
1,50,8,4,3,1,1,2,24,1, , ,5,2.3333333333333335,2.4166666666666665,1.5,3.5,314.95321499999994,314.30946400000005,1,1,1,1,0,8
1,50,8,4,1,1,1,1,26,1,2, ,2.5,1.6666666666666667,1.3333333333333333,1,2.8333333333333335,240.40987,209.92564099999998,0,0,0,0,0,0
2,50,8,4,2,1,2,1,4,1,2, ,2.75,1.6666666666666667,1,1,2,199.08411399999997,192.684467,0,0,0,0,0,0
1,50,8,4,3,1,1,1,25,2,1,3,3.5,3.6666666666666665,4.166666666666667,3,3.8333333333333335,311.856164,293.10769799999997,1,1,0,0,1,48
1,50,8,4,3,1,1,2,25,1, , ,3,2,3.5833333333333335,3.6666666666666665,2.8333333333333335,316.41484299999996,286.49927800000006,0,0,0,0,0,0
1,50,8,4,2,1,1,2,25,1, , ,3.25,3.3333333333333335,2.75,2.1666666666666665,3.3333333333333335,304.106228,281.699165,0,0,0,0,0,0
1,50,8,4,3,1,1,1,20,1,1,1,4,2.6666666666666665,4.25,3.6666666666666665,4,308.02811800000006,318.65789499999994,1,1,0,0,1,120
1,50,8,4,3,1,1,2,23,1, , ,3,3,3.25,3.6666666666666665,3,271.010059,257.535001,0,0,0,0,0,0
1,50,8,4,2,1,1,2,26,1, , ,1.25,1.6666666666666667,2.5,2,2.6666666666666665,231.967419,228.27802400000002,0,0,0,0,0,0
2,50,8,4,2,1,1,2,23,1, , ,5,1,2,2.3333333333333335,2.5,243.78673099999997,237.27567499999995,0,0,0,0,0,0
1,50,8,4,2,1,1,1,20,1,2, ,4,2.6666666666666665,2.75,1,2.8333333333333335,294.969013,306.757574,1,1,1,1,0,4
2,50,8,4,2,1,1,2,27,1, , ,2.75,3,2.9166666666666665,2.6666666666666665,3,298.181831,283.050371,0,0,0,0,0,0
1,50,8,4,1,1,1,2,25,1, , ,1,3.6666666666666665,3.1666666666666665,2.3333333333333335,3.6666666666666665,275.242392,237.09552,0,0,0,0,0,0
1,50,8,4,2,1,2,2,30,1, , ,1,3.3333333333333335,2.4166666666666665,1.8333333333333333,1.6666666666666667,268.545837,247.40655,0,0,0,0,0,0
2,50,8,4,1,1,1,1,20,1,2, ,1.75,3,2.4166666666666665,3,3,182.413409,175.187301,0,0,0,0,0,0
1,50,8,4,3,1,1,1,25,1,2, ,5,3.3333333333333335,3.5833333333333335,3,1.8333333333333333,281.206908,288.091634,0,0,0,0,0,0
2,50,8,4,2,1,2,1,2,2,2, ,1.5,2.3333333333333335,3.25,2,3,229.316192,242.134949,1,1,0,0,1,60
1,50,8,4,3,1,1,1,20,1,1,4,2.25,2.6666666666666665,3,2.6666666666666665,2.3333333333333335,285.71023399999996,288.487265,1,1,1,1,0,24
1,50,8,4,2,1,1,2,20,1, , ,2,1,1,1,1.3333333333333333,256.571254,222.96555600000002,0,0,0,0,0,0
2,50,8,4,1,1,1,1,22,1,2, ,1,1,2.4166666666666665,1.3333333333333333,1.3333333333333333,250.22437100000002,226.14246399999996,1,1,1,1,0,26
1,50,8,4,2,1,1,1,25,1,1,4,1,3.6666666666666665,3.1666666666666665,1.6666666666666667,3.1666666666666665,197.98094600000002,216.418592,1,1,1,1,0,32
1,50,8,4,2,1,1,1,27,1,1,5,3.75,1,2.6666666666666665,1,1.8333333333333333,274.33300199999996,251.38882400000003,1,1,1,1,0,160
2,50,8,4,1,1,2,1,8,1,2, ,1.5,2.6666666666666665,1,1,2,289.66088,272.022882,0,0,0,0,0,0
1,50,8,4,3,1,1,1,25,1,1,2,2.75,2.3333333333333335,1.75,1.3333333333333333,4,250.579814,240.69135100000003,0,0,0,0,0,0
1,50,8,4,3,1,1,1,23,2,1,5,4,2.3333333333333335,3.8333333333333335,1.5,2.8333333333333335,294.128052,292.47808399999997,1,1,1,1,0,24
2,50,8,4,1,1,1,2,20,1, , ,1.75,1,3.9166666666666665,2.3333333333333335,1.5,231.076526,243.65531700000005,0,0,0,0,0,0
1,50,8,4,3,1,1,1,20,1,2, ,2.25,3,2.0833333333333335,2.5,4,239.593373,246.859377,0,0,0,0,0,0
1,50,8,4,3,1,1,1,23,2,1,1,4,3.6666666666666665,4.25,3,5,309.66316600000005,310.341393,1,1,0,0,1,24
1,50,8,4,1,1,1,1,25,1,2, ,2,2.6666666666666665,2.4166666666666665,1,3,262.792307,237.355073,0,0,0,0,0,0
2,50,8,4,2,1,1,1,7,1,2, ,3,1.3333333333333333,1.4166666666666667,1,1.8333333333333333,270.097379,247.93742000000003,0,0,0,0,0,0
2,50,8,4,1,1,1,2,10,1, , ,3.25,3.3333333333333335,1.3333333333333333,1.8333333333333333,1.8333333333333333,237.40648299999998,199.517153,0,0,0,0,0,0
2,50,8,4,2,1,1,2,5,1, , ,2.75,3,1.4166666666666667,1.6666666666666667,1.6666666666666667,222.114216,216.787173,0,0,0,0,0,0
1,50,8,4,1,1,1,2,26,1, , ,4,3,3.3333333333333335,3,2,225.715904,216.68490300000002,0,0,0,0,0,0
1,50,8,4,2,1,1,1,10,1,1,3,2.5,2.3333333333333335,3.75,2.1666666666666665,3.1666666666666665,182.580159,181.329833,1,1,1,1,0,2
1,50,8,4,2,1,1,1,20,1,2, ,1,1.6666666666666667,1.9166666666666667,1,2,244.93421600000002,243.96448999999998,0,0,0,0,0,0
2,50,8,4,1,1,1,1,10,1,2, ,1.5,1,1,1,1.1666666666666667,273.422964,263.60070399999995,0,0,0,0,0,0
2,50,8,4,1,1,2,1,1,1,2, ,1,2,1,1,2.1666666666666665,165.19549400000002,136.53343199999998,1,1,1,1,0,2
1,50,8,4,2,1,2,1,2,1,2, ,1,2.3333333333333335,3.4166666666666665,2.5,2.8333333333333335,254.87630800000002,249.29979599999996,0,0,0,0,0,0
1,50,8,4,3,1,1,1,30,1,1,4,3.25,2.6666666666666665,4.166666666666667,3.8333333333333335,2.8333333333333335,294.40560100000005,325.679937,1,1,1,1,0,15
2,50,8,4,1,1,1,2,19,1, , ,5,1,1,1.6666666666666667,3.8333333333333335,278.02117000000004,250.99153,0,0,0,0,0,0
1,50,8,4,2,1,1,2,10, , , ,2.75,3.6666666666666665,3.25,2.3333333333333335,2.1666666666666665,254.965506,213.859987,0,0,0,0,0,0
2,50,8,4,2,1,1,1,1,1,2, ,1,2,1.1666666666666667,1,1,296.691695,281.823465,1,1,1,1,0,12
1,50,8,4,2,1,1,1,27,1,2, ,1,2.3333333333333335,1.6666666666666667,1.6666666666666667,1.6666666666666667,201.26876499999997,179.40879400000003,0,0,0,0,0,0
1,50,8,4,2,1,1,2,33,1, , ,4,3,2.9166666666666665,2.8333333333333335,3.3333333333333335,256.321103,259.63731500000006,1,1,1,1,0,1920
1,50,8,4,2,1,1,1,30,1,1,2,3.75,1.6666666666666667,2.4166666666666665,1.8333333333333333,3.6666666666666665,273.66219,244.072796,0,0,0,0,0,0
1,50,8,4,2,1,1,1,30,1,2, ,2,3,3.4166666666666665,3,2.1666666666666665,238.67476200000002,217.57919499999997,1,1,1,1,0,90
2,50,8,4,2,1,1,1,3,1,2, ,1,1,1,1,2.5,244.58745,245.167805,0,0,0,0,0,0
2,50,8,4,3,1,1,1,1, ,2, ,2.25,2,4,3,3.8333333333333335,263.01708199999996,254.27232199999997,1,1,1,1,0,480
1,50,8,4,2,1,1,1,15,1,2, ,3,4.666666666666667,4.333333333333333,3.6666666666666665,4.333333333333333,255.92522700000004,233.805999,1,1,1,1,0,56
1,50,8,4,2,1,1,2,15,1, , ,3,3.6666666666666665,3.75,3.8333333333333335,2,257.045415,259.21566900000005,1,1,1,1,0,8
1,51,8,4,2,1,1,2,10,2, , ,5,2.6666666666666665,1,1.6666666666666667,1.3333333333333333,265.13535800000005,255.878713,1,1,1,1,0,4
2,51,8,4,1,1,1,1,25,1,2, ,1,2,1,1,2.1666666666666665,197.06706200000002,201.671727,0,0,0,0,0,0
1,51,8,4,3,1,1,2,25,1, , ,5,3.6666666666666665,3.5,3.5,2,317.203618,308.795424,0,0,0,0,0,0
1,51,8,4,1,1,1,1,25,1,2, ,3,1,1.25,1.1666666666666667,1,139.57665500000002,125.117318,0,0,0,0,0,0
1,51,8,4,2,1,1,1,25,1,2, ,3.5,2,2.4166666666666665,2.3333333333333335,3.1666666666666665,259.55751599999996,237.88737099999997,0,0,0,0,0,0
2,51,8,4,2,1,1,1,20,1,2, ,3.5,1.3333333333333333,1.5,2.3333333333333335,3.1666666666666665,225.7473,205.43280400000003,0,0,0,0,0,0
1,51,8,4,1,1,2,1,25,1,2, ,1.75,2.6666666666666665,2.5,2.5,2.3333333333333335,254.05891000000003,250.470383,0,0,0,0,0,0
2,51,8,4,2,1,1,1,25,1,2, ,4,1.3333333333333333,2.25,2.3333333333333335,4.166666666666667,259.32925399999993,249.65436599999998,0,0,0,0,0,0
2,51,8,4,3,1,1,1,25,2,2, ,2.5,3.3333333333333335,4.5,3.3333333333333335,3.6666666666666665,212.843068,171.66288,1,1,1,1,0,960
2,51,8,4,1,1,1,1,37,1,2, ,2,1.3333333333333333,1,1,1.8333333333333333,290.85585,284.01259999999996,0,0,0,0,0,0
2,51,8,4,2,1,1,2,3,1, , ,5,2.6666666666666665,3.5833333333333335,3.5,3.5,221.15967400000005,239.34795100000002,0,0,0,0,0,0
1,51,8,4,3,1,1,1,30,1,1,1,5,3,4,3.3333333333333335,4,302.96532299999996,298.007856,0,0,0,0,0,0
2,51,8,4,2,1,1,1,15,1,2, ,2.25,2.6666666666666665,2.1666666666666665,3.6666666666666665,3,314.26626,304.067766,0,0,0,0,0,0
1,51,8,4,3,1,1,1,23,2,2, ,4.5,2.3333333333333335,2.25,1.1666666666666667,2.8333333333333335,273.50566200000003,292.80260699999997,1,1,1,1,0,120
2,51,8,4,1,1,2,1,2,1,2, ,1.75,3.6666666666666665,1.3333333333333333,1,1.8333333333333333,248.267184,247.77642299999997,0,0,0,0,0,0
1,51,8,4,3,1,1,1,26,1,1,4,3,1.6666666666666667,3.75,3.8333333333333335,3.8333333333333335,372.089109,380.744263,1,1,1,1,0,32
2,51,8,4,1,1,1,2,10,1, , ,4.5,3.6666666666666665,2.1666666666666665,1.8333333333333333,1.5,246.07893199999998,232.35548699999998,1,1,1,1,0,30
1,51,8,4,3,1,1,2,23,1, , ,5,3,3.1666666666666665,4.5,3.6666666666666665,331.766891,338.66311400000006,1,1,1,1,0,24
2,51,8,4,2,1,1,1,3,1,1,2,4,1.6666666666666667,2.0833333333333335,2.3333333333333335,1.1666666666666667,182.047554,170.076072,1,1,0,0,1,32
2,51,8,4,2,1,1,1,11,1,2, ,1,2.6666666666666665,3.9166666666666665,3.3333333333333335,3,248.717106,239.52481999999995,1,1,1,1,0,12
1,51,8,4,3,1,1,1,16, ,1,2,3,3,3.4166666666666665,1.8333333333333333,3,312.763609,316.890764,1,1,1,1,0,24
1,51,8,4,3,1,1,1,25,1,2, ,3.25,3.3333333333333335,2.3333333333333335,2,2,297.861144,273.817866,1,1,1,1,0,8
2,51,8,4,2,1,2,1,17,1,2, ,3.25,2,1.3333333333333333,1.5,4,291.132552,304.692641,0,0,0,0,0,0
2,51,8,4,3,1,1,1,30,2,1,2,3,2.6666666666666665,3.3333333333333335,2.1666666666666665,4.166666666666667,309.240263,316.981992,1,1,1,1,0,1600
1,51,8,4,3,1,1,2,25,1, , ,5,3.3333333333333335,4.583333333333333,3.6666666666666665,4.666666666666667,235.72135000000003,235.505563,1,1,0,0,1,1600
1,51,8,4,3,1,1,1,17,1,1,4,3.25,4.333333333333333,3.9166666666666665,4.833333333333333,3.8333333333333335,307.831272,335.483529,0,0,0,0,0,0
2,51,8,4,1,1,2,1,7,1,2, ,3,1.3333333333333333,2.3333333333333335,3,2.8333333333333335,271.866756,246.87652400000002,1,1,0,0,1,40
2,51,8,4,2,1,2,1,10,1,2, ,1.75,3.6666666666666665,2.75,3,2.1666666666666665,256.870008,242.47446300000001,1,1,1,1,0,32
1,51,8,4,2,1,1,2,30,1, , ,5,5,4.083333333333333,4.833333333333333,4.333333333333333,270.089339,264.04138500000005,1,1,1,1,0,112
2,51,8,4,1,1,2,1,15,1,2, ,1,1.6666666666666667,1.1666666666666667,1,2.6666666666666665,234.37678300000002,228.29629500000001,0,0,0,0,0,0
1,51,8,4,3,1,1,1,25,1,1,2,3.5,3,4.166666666666667,3.1666666666666665,2,252.145849,243.66271600000005,1,1,0,0,1,1000
2,51,8,4,2,1,1,2,10,1, , ,3,2.6666666666666665,2.3333333333333335,2,2.8333333333333335,252.171596,251.71945800000003,1,1,1,1,0,53
1,51,8,4,1,1,1,1,30,1,2, ,1.5,1,1.4166666666666667,1,4,224.188018,188.49208800000002,0,0,0,0,0,0
2,51,8,4,1,1,2,1,0,1,2, ,2.5,1,1,1,4.333333333333333,200.581094,171.498405,0,0,0,0,0,0
2,51,8,4,2,1,2,1,7,1,2, ,1,2.3333333333333335,1.6666666666666667,1,2.6666666666666665,239.59627199999994,201.16807699999998,0,0,0,0,0,0
2,51,8,4,3,1,2,1,10,1,2, ,1.75,4.333333333333333,3.25,1,2.5,290.13716,307.28245499999997,0,0,0,0,0,0
1,51,8,4,2,1,2,1,17,1,2, ,1,1.3333333333333333,1.3333333333333333,1,1,229.81360799999993,229.196555,1,1,1,1,0,4
2,51,8,4,3,1,1,1,28,2,2, ,2.75,3,4.166666666666667,3.5,5,258.149437,261.654311,1,1,1,1,0,120
1,51,8,4,3,1,1,1,25,2,1,3,2.75,3.3333333333333335,3.9166666666666665,3,3.5,317.50838300000004,293.43212900000003,1,1,1,1,0,40
1,51,8,4,3,1,1,1,28,1,1,5,4.25,2,3,2.5,3,274.013068,300.06337799999994,0,0,0,0,0,0
1,51,8,4,1,1,1,2,1,1, , ,1.5,2.6666666666666665,2,1.6666666666666667,1.6666666666666667,232.05759899999998,246.31886100000003,0,0,0,0,0,0
1,51,8,4,2,1,1,2,33,1, , ,3.25,3,3.6666666666666665,1.8333333333333333,2.6666666666666665,290.430925,297.220372,0,0,0,0,0,0
1,51,8,4,3,1,1,1,27,1,1,4,4,3.3333333333333335,3.75,3.6666666666666665,4.5,290.619707,313.69254199999995,1,1,1,1,0,100
2,51,8,4,2,1,1,1,10,1,2, ,3.25,2.6666666666666665,2.1666666666666665,1,2.1666666666666665,258.41504100000003,249.051174,1,1,1,1,0,18
1,51,8,4,3,1,1,1,4,1,1,1,4,5,4.333333333333333,4,5,281.63246399999997,226.68870199999998,1,1,1,1,0,72
2,51,8,4,1,1,1,1,20,1,2, ,1,1,1,1,3.1666666666666665,215.01157899999998,198.56317099999998,0,0,0,0,0,0
2,51,8,4,2,1,1,1,4,1,2, ,1,2.3333333333333335,1.3333333333333333,1,2.3333333333333335,258.465392,223.46828799999997,1,1,0,0,1,160
2,51,8,4,2,1,1,1,1,1,2, ,2.5,1,1,1.6666666666666667,2.3333333333333335,249.212335,265.697953,0,0,0,0,0,0
2,51,8,4,2,1,1,2,9,1, , ,3.75,3.6666666666666665,3,2.8333333333333335,3.1666666666666665,291.840042,261.344131,0,0,0,0,0,0
2,51,8,4,1,1,1,1,25,1,2, ,2,1,1,1.6666666666666667,1.8333333333333333,258.501227,233.694245,0,0,0,0,0,0
2,51,8,4,1,1,1,2,20,1, , ,3.5,2.6666666666666665,1,2.3333333333333335,2.1666666666666665,215.42683199999996,201.644119,0,0,0,0,0,0
1,51,8,4,3,1,1,1,25,1,1,3,3,2.3333333333333335,3.4166666666666665,3.3333333333333335,5,299.633422,297.667094,1,1,1,1,0,200
1,51,8,4,1,1,1,2,30,1, , ,4.5,1.6666666666666667,2.75,3,3.8333333333333335,266.564042,256.363402,0,0,0,0,0,0
1,51,8,4,2,1,1,1,30,2,2, ,1,1.3333333333333333,2.75,2.1666666666666665,1.3333333333333333,236.688501,263.37088900000003,1,1,1,1,0,4
1,51,8,4,3,1,1,2,29,1, , ,4,3.3333333333333335,3.3333333333333335,3.3333333333333335,2,305.23102200000005,296.730459,1,1,1,1,0,16
2,51,8,4,3,1,1,1,10,1,2, ,3.25,1.3333333333333333,2.5833333333333335,1.3333333333333333,3.6666666666666665,246.950224,272.697,1,1,1,1,0,8
2,51,8,4,3,1,1,2,12,1, , ,5,3,2.5833333333333335,2.6666666666666665,2.3333333333333335,250.179232,258.680494,1,1,1,1,0,24
1,51,8,4,2,1,1,1,30,1,1,1,3.25,2,1.4166666666666667,2.1666666666666665,3.3333333333333335,220.31128399999997,197.432977,0,0,0,0,0,0
1,51,8,4,2,1,1,2,20,1, , ,5,1.6666666666666667,2.5833333333333335,2.3333333333333335,2.8333333333333335,241.946845,229.561679,0,0,0,0,0,0
1,51,8,4,3,1,1,1,30,2,2, ,2.75,4,3.8333333333333335,4.666666666666667,3,260.698713,257.60282300000006,1,1,1,1,0,120
1,51,8,4,2,1,1,1,26,1,1,3,2,1.6666666666666667,2.75,1.6666666666666667,2.6666666666666665,238.06700999999998,250.291203,1,1,1,1,0,6
1,51,8,4,3,1,1,1,21,1,1,4,2.5,1,3.4166666666666665,2.8333333333333335,4.666666666666667,288.920801,300.7939420000001,0,0,0,0,0,0
1,51,8,4,3,1,1,1,27, ,1,1,3.75,2.6666666666666665,3.5833333333333335,3,3.8333333333333335,253.25092400000003,280.722312,1,1,1,1,0,40
